Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
215,Jordan Goodwin,27,PHO,PG,26,2,21.0,3.3,8.1,.414,1.4,4.0,.356,1.9,4.1,.472,.502,0.5,0.7,.722,1.7,2.3,4.0,2.0,1.5,0.2,1.2,1.7,8.6,,goodwjo01
216,Isaac Okoro,25,CHI,SG,21,21,24.4,3.3,6.8,.486,1.1,3.0,.359,2.2,3.7,.590,.567,0.9,1.2,.731,1.2,1.3,2.5,1.4,0.6,0.6,0.7,3.0,8.6,,okorois01
217,Jalen Smith,25,CHI,C,24,0,16.3,3.2,6.7,.472,1.3,3.6,.356,1.9,3.1,.608,.568,1.0,1.3,.750,1.8,3.8,5.6,1.3,0.3,0.6,1.0,1.9,8.6,,smithja04
218,Bogdan Bogdanović,33,LAC,SG,15,3,23.9,2.9,7.7,.379,1.6,4.7,.338,1.3,3.0,.444,.483,1.1,1.3,.842,0.3,2.7,3.1,2.9,0.5,0.1,1.3,2.7,8.5,,bogdabo01
219,Caris LeVert,31,DET,SG,24,0,20.5,3.0,6.9,.430,1.3,3.3,.380,1.7,3.6,.477,.521,1.3,2.0,.653,0.3,1.5,1.8,2.9,0.8,0.6,1.3,1.3,8.5,,leverca01
220,Tolu Smith,25,DET,PF,2,0,11.0,3.0,4.0,.750,0.0,0.0,,3.0,4.0,.750,.750,2.5,3.5,.714,2.0,3.5,5.5,1.0,0.5,0.5,0.5,1.0,8.5,,smithto05
221,Kris Dunn,31,LAC,PG,29,23,26.7,3.2,6.4,.500,1.2,3.0,.391,2.0,3.4,.596,.591,0.8,1.1,.719,0.8,2.1,2.9,2.9,1.5,0.2,1.4,2.4,8.4,,dunnkr01
222,Ron Holland,20,DET,SF,28,5,21.0,3.0,7.5,.405,0.7,2.7,.250,2.4,4.8,.493,.450,1.6,2.0,.804,0.9,2.8,3.8,1.5,1.5,0.2,1.3,2.3,8.4,,hollaro01
223,Jose Alvarado,27,NOP,PG,30,0,22.4,3.0,6.9,.433,1.7,4.5,.381,1.3,2.5,.527,.555,0.6,0.7,.810,0.4,2.3,2.8,3.2,1.0,0.1,1.3,2.0,8.3,,alvarjo01
224,Luguentz Dort,26,OKC,SF,21,21,27.8,2.9,7.6,.375,1.9,5.6,.331,1.0,2.0,.500,.497,0.7,0.8,.938,1.0,2.7,3.6,1.1,0.9,0.5,0.6,3.1,8.3,,dortlu01
